,title,price,link
10,"Apple 2023 MacBook Pro (14-inch, M3 Max chip with 14‑core CPU and 30‑core GPU, 36GB Unified Memory, 1TB) - Space Black  ","2,89,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MTIwODA2NTQ4NjEyMDE6MTcyMTQ2Njc2NTpzcF9hdGZfbmV4dDozMDAwODU0MDMyMTg4MzI6OjA6Og&url=%2FApple-MacBook-14-inch-14%25E2%2580%2591core-30%25E2%2580%2591core%2Fdp%2FB0CM5VYBTY%2Fref%3Dsr_1_113_sspa%3Fcrid%3D26NOS6C3R7BBS%26dib%3DeyJ2IjoiMSJ9.yUa2Dypm5Detmlff29aMKl0aLyfEclIcXqMuoSX2sAWnfRn6-_4g-Ii-uyzRnvndhHtSBJ4ZBMK1d2BelVdnfaaLJ5WptL0l-euYR-LsAu1Mm-hzThJ3OufQI8mscg2PVHY6qonUshMZW0PW3pT4nG5naFsDJqauAicv4HeSDqASCv8T_MjVdFt6ihxSU9UTdffyEYq9ekSslRn6C-RwgB5v9RkuazAd4RSXsLlkF_g.AkofRzGDTXCdCfVTOmdgOmG-j4IdbLExCJ3uyUtyfZE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721466765%26sprefix%3Dlaptop%252Caps%252C672%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
11,"HP Pavilion Aero laptop, Lightest AI PC, AMD Ryzen 7 8840U, 13.3-inch (33.8 cm), WUXGA, 400 nits, 16GB LPDDR5x, 512GB SSD, AMD Radeon graphics, 5MP camera, (Win 11, Silver, 1 kg), bg0017AU  ","79,990",https://amazon.in//HP-Pavilion-Lightest-13-3-inch-graphics/dp/B0D2HNMB22/ref=sr_1_136?crid=26NOS6C3R7BBS&dib=eyJ2IjoiMSJ9.YxgyCc8CbrHl1mO0f7nNsK4UH0VlYJB6fsqgWUBIK9y8jL39jJEUbPyIh5MSLEjDw2-DZYOUXR9PCRcbiUiDshmT8YSlLe6ormFMy3Rwo_hjTiR_zyMnOhGRa4JZ_9yEt0FQuVSMlF6E92sOiZnSaKD3fL3pqpKscYUZ4ZWygxHP2eKJsGEA6v8wXJgxoAWnq_zrtlUKFAd5m5BK_zEBSf_eZGqrrcERWXnRjduVuvQ.dIKuGl1K_dscY4J_Nd_tMSf5dKeUPGf2H9LmXpjdPvA&dib_tag=se&keywords=laptop&qid=1721466778&sprefix=laptop%2Caps%2C672&sr=8-136
12,"Dell 14 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/1.48kg  ","33,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNjUzNzAyNjc5MjIxMjAxOjE3MjE0NjY2NzU6c3BfYnRmOjMwMDA2ODM5OTI5MDczMjo6MDo6&url=%2FDell-14-Rheinland-Certified-Comfortview%2Fdp%2FB0BQJ9HZPP%2Fref%3Dsr_1_37_sspa%3Fcrid%3D26NOS6C3R7BBS%26dib%3DeyJ2IjoiMSJ9.WGngg0Q9S29qZGdQMxbpoCC9HSx0PhvXj5y40QyK7difK3q0BdDfBG-TBNh0Xya1_w9bWbbMCZIFVRqNiRqaCa9-6_x-HUnEkWjMGNJ6pU4mtXt9G5qNyeVZmjATKtjOVBSAvQ10t-iXJfglMqRqvpBWq1DBYX4mjeczgpL5ky-HZSpD6s_gYRWfsYEcrBC1jaCDrO12M64K349cj9OS6D_P4tpT1zZ-ADxP2NHfdYI.r6NCDKHkUe3yL0Xfn80i2ADMobpY0p7Vk-N6ebBPQtM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721466675%26sprefix%3Dlaptop%252Caps%252C672%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
13,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Metal Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG  ","43,999",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNjUzNzAyNjc5MjIxMjAxOjE3MjE0NjY2NzU6c3BfbXRmOjMwMDI2MTIxNjAzODczMjo6MDo6&url=%2FAcer-i5-1235U-Windows-Graphics-AL15-52%2Fdp%2FB0CY1YWC3Y%2Fref%3Dsr_1_28_sspa%3Fcrid%3D26NOS6C3R7BBS%26dib%3DeyJ2IjoiMSJ9.WGngg0Q9S29qZGdQMxbpoCC9HSx0PhvXj5y40QyK7difK3q0BdDfBG-TBNh0Xya1_w9bWbbMCZIFVRqNiRqaCa9-6_x-HUnEkWjMGNJ6pU4mtXt9G5qNyeVZmjATKtjOVBSAvQ10t-iXJfglMqRqvpBWq1DBYX4mjeczgpL5ky-HZSpD6s_gYRWfsYEcrBC1jaCDrO12M64K349cj9OS6D_P4tpT1zZ-ADxP2NHfdYI.r6NCDKHkUe3yL0Xfn80i2ADMobpY0p7Vk-N6ebBPQtM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721466675%26sprefix%3Dlaptop%252Caps%252C672%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"HP 15s 12th Gen Intel Core i5, 15/6inch (39.6 cm), 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Backlit Kb, (Win 11 Home, Natural Silver, 1.69kg), fq5202TU / fq5329TU  ","46,990",https://amazon.in//HP-Graphics-Backlit-fq5202TU-fq5329TU/dp/B0CJM5Z6FY/ref=sr_1_134?crid=26NOS6C3R7BBS&dib=eyJ2IjoiMSJ9.YxgyCc8CbrHl1mO0f7nNsK4UH0VlYJB6fsqgWUBIK9y8jL39jJEUbPyIh5MSLEjDw2-DZYOUXR9PCRcbiUiDshmT8YSlLe6ormFMy3Rwo_hjTiR_zyMnOhGRa4JZ_9yEt0FQuVSMlF6E92sOiZnSaKD3fL3pqpKscYUZ4ZWygxHP2eKJsGEA6v8wXJgxoAWnq_zrtlUKFAd5m5BK_zEBSf_eZGqrrcERWXnRjduVuvQ.dIKuGl1K_dscY4J_Nd_tMSf5dKeUPGf2H9LmXpjdPvA&dib_tag=se&keywords=laptop&qid=1721466778&sprefix=laptop%2Caps%2C672&sr=8-134
15,"Acer Aspire Lite 12th Gen Intel Core i7-1255U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","51,650",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNzA2MTQyMDExNDg3MjAxOjE3MjE0NjY2NTg6c3BfYXRmOjMwMDI2MTIxNjAzOTIzMjo6MDo6&url=%2FAcer-i7-1255U-Premium-Windows-AL15-52%2Fdp%2FB0D262KC1J%2Fref%3Dsr_1_2_sspa%3Fcrid%3D26NOS6C3R7BBS%26dib%3DeyJ2IjoiMSJ9.ygOP_U7g_gmDnySMbmd1D9teJaLQ0zTHyg3UoTtHBOCZus9oLGSmWc3Wp4vmzu2q8KwYQNCzSSIlNOAoyEVcpzwiKcTZq1WRKw4bOGF2HoFd4YySNX0WKG-JTowiI76WKS-u36Sk1GUMeiTeI8dRVR5S7Q4ZdgILRxckSBaSWK1fpMIGKh-53nA5XAz4ma_FT-e8C_UPmXvwb3yLGn2iKcjZgOPFbeXN8ZZ90OzD0V4.WP_x7n3i8kESGDrhKkVm0Mim92SH-85wLkaSYWJtTkk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721466658%26sprefix%3Dlaptop%252Caps%252C672%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
16,"Apple 2023 MacBook Pro (14-inch, M3 chip with 8‑core CPU and 10‑core GPU, 8GB Unified Memory, 512GB) - Space Grey  ","1,55,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyODUwMTcxMTkxNTc3MjAxOjE3MjE0NjY3OTM6c3BfYXRmX25leHQ6MzAwMDg1NDAzMjE4NDMyOjowOjo&url=%2FApple-MacBook-14-inch-10%25E2%2580%2591core-Unified%2Fdp%2FB0CM5NR4SW%2Fref%3Dsr_1_145_sspa%3Fcrid%3D26NOS6C3R7BBS%26dib%3DeyJ2IjoiMSJ9.KG0M59NCFFM3WC0Jru04IgBEcVBS56u8E8v26oZdCFAWmcD78Wc2hOYqnhb3iURNOqQsYHlEGsIVDz0WgoFIHGGlgdy42DUdifkNH2omzRsaZfsp4P18JSEXAA7acBcFyhuuPg69a-H1JFe114Vw1FTBiNsgbUcptMG-0-5nftUpvrjlQrNFf9xDr9VeKO6_-dkqTLXFWzOVXETf7Ucs7r7NITgJwLNN_CGOM0d-_1E.Dt29h2JrLZDQ3lBVDR5hAW6Pe8Rt-Ihty0t-qZ-4nYE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721466793%26sprefix%3Dlaptop%252Caps%252C672%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
17,"HP 15s 12th Gen Intel Core i5, 15/6inch (39.6 cm), 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Backlit Kb, (Win 11 Home, Natural Silver, 1.69kg), fq5202TU / fq5329TU  ","46,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMzMzNjE0MjEzMjIyMDE6MTcyMTQ2Njc0MjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMjUwODMxNDk1MTMyOjoxOjo&url=%2FHP-Graphics-Backlit-fq5202TU-fq5329TU%2Fdp%2FB0CJM5Z6FY%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.fc684e65-c18a-4031-9f8d-e6a2af0c8bfb%253Aamzn1.sym.fc684e65-c18a-4031-9f8d-e6a2af0c8bfb%26crid%3D26NOS6C3R7BBS%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.IP0yfu6dqsfdBNT79xdLxBr9YWQMi59TbxQGpIgdZ1_RDajEPO7Gbj3LdJVfrTI-RU1NbjspC-iGwRlFw8haig.8GjXJXd5SVKmZSj192uvPgXtbS42hotsLl_eBmb3quY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CJM5Z6FY%26pd_rd_r%3D13f8c6bf-3c5a-4684-aca0-9efcaa939c6c%26pd_rd_w%3DkAqe0%26pd_rd_wg%3DhXJso%26pf_rd_p%3Dfc684e65-c18a-4031-9f8d-e6a2af0c8bfb%26pf_rd_r%3D6G205HQB101RNHY9NG1D%26qid%3D1721466742%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C672%26sr%3D1-82-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
18,"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.75Kg), Gray  ","51,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTkxMzUzNzQ2MDYzMjAxOjE3MjE0NjY2NTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2OTc3NTIyMjkzMjo6Mzo6&url=%2FMagicBook-i5-13420H-Anti-Glare-Keyboard-Fingerprint%2Fdp%2FB0CXLWXYB1%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%253Aamzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%26crid%3D26NOS6C3R7BBS%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.Uu6pkOyTr7k_1kjh_1DLkOXcSOCO1mZVEo49nskJbgCFmUl8kpveMq0yP752ZZdKlL7_tD3Pk1qr_YoTG2dADA.eJYS6MewjLJXulXb90kpW-0jSeN9wl-Ktk4d6dM2mDA%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CXLWXYB1%26pd_rd_r%3D0e5565e9-a538-465c-833c-b69ac17e37bd%26pd_rd_w%3DX6AmP%26pd_rd_wg%3DgE2ao%26pf_rd_p%3D85e046b2-1010-4183-b7b7-f25119863240%26pf_rd_r%3DW1J7JXJV58R6026969MT%26qid%3D1721466658%26sbo%3D9ZOMT9Jm0JH%252Ft%252BWi68iDSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C672%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
19,"Dell 15 Thin & Light Laptop, Intel Core 13th Generation i5-1334U Processor, 16GB DDR4 & 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Windows 11 + MSO'21 + 15 Month Mcafee, Carbon Black, 1.66kg  ","55,290",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NTAyNDY2Mjk0NTk3MjAxOjE3MjE0NjY3Nzg6c3BfbXRmOjMwMDI0NTkwMjcxOTAzMjo6MDo6&url=%2FDell-Generation-i5-1334U-Processor-39-62cm%2Fdp%2FB0D46QQHW6%2Fref%3Dsr_1_140_sspa%3Fcrid%3D26NOS6C3R7BBS%26dib%3DeyJ2IjoiMSJ9.YxgyCc8CbrHl1mO0f7nNsK4UH0VlYJB6fsqgWUBIK9y8jL39jJEUbPyIh5MSLEjDw2-DZYOUXR9PCRcbiUiDshmT8YSlLe6ormFMy3Rwo_hjTiR_zyMnOhGRa4JZ_9yEt0FQuVSMlF6E92sOiZnSaKD3fL3pqpKscYUZ4ZWygxHP2eKJsGEA6v8wXJgxoAWnq_zrtlUKFAd5m5BK_zEBSf_eZGqrrcERWXnRjduVuvQ.dIKuGl1K_dscY4J_Nd_tMSf5dKeUPGf2H9LmXpjdPvA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721466778%26sprefix%3Dlaptop%252Caps%252C672%26sr%3D8-140-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
